ሰላም ለኪ	nagaan isiniif haa ta'u
ወዐውየዉ ወይቤሉ ስቅሎ ስቅሎ	isaan garuu fannisi isa fannisi jedhanii itti iyyan
ወይቤሎሙ አምጽእዎን ሊተ ዝየ	inni immoo as gara kootti fidaa jedhe
ወኢትሐብኡ አራዊተ ውሳጤ ግብ	beeylada boolla keessa hin dhoksinaa
በምንዳቤየ ተዘከርኩከ እግዚኦ	gooftaa yeroon kireeffadhu si yaadadhe
እስከ ማዕዜኑ ይዜሀሩ ኃጥአን	cubbamoota hanga yoom boontu
ወኀደገ ኵሎ ወተንሥአ ወተለዎ	kana irratti lewwiin hundumaa dhiisee ka'ee duukaa bu'e
ኀሣር ወቅጥቃጤ ውስተ ፍኖቶሙ	karaa isaan irra darban irra diiguu fi gadadichuutu jira
በእንተ ምሳሌ ዘምእት አባግዕ	fakkeenya hoolaa badee argamee
ወእንዘ ይፈቅዱ ይጥብቡ አብዱ	ogeessota utuma ofiin jedhanii gowwooman
ወተለዓለ ማይ መልዕልተ ምድር	bishaan lafa irra ol ka'e
አፉሁ ለጻድቅ ይትሜሐር ጥበብ	afaan qajeelaa ogummaa barata
ወወፅኡ እምሀገር ወሖሩ ኀቤሁ	namoonni yeroo sanatti mandaricha keessaa ba'anii gara isaa dhufuutti ka'an
ወይቤሎሙ አነ ውእቱ ኢትፍርሁ	iyyasuusgaruu hin sodaatinaa innoo ana isaaniin jedhe
ስምዑ ወፈረ ዘይዘርዕ ይዝራዕ	dhaggeeffadhaa namichi tokko sanyii facaasuudhaaf ba'e
እንቋዕ ርኢናሁ ንህነ ለህፃን	nuti daaima bagaa arge
ወአንብዐ ካዕበ እግዚእ ኢየሱስ	iyyasuusimimmaan isaa dhangalaase
ሲሳየነ ዘለለዕለትነ ሀበነ ዮም	soora har'aabor nu barbaachisu guyyuma guyyaan nuuf kenni
መሀሩነ ሐዋርያት በዘብድወ ጠሊ	ergamoonni uffata re'ee uffachuu barsiisaniiru
ወዴገንዎ ስምዖን ወእለ ምስሌሁ	simoonii fi warri isaa wajjin turan isa barbaacha ba'an
ወይቤሎሙ እፎ እንከ ዘኢትሌብዉ	yoos isin amma iyyuu hin hubattanii isaaniin jedhe
ወኮነ ሕይወታ ለሳራ ወወዓመተ	saaraan waggaa dhibbaa fi digdamii torba in jiraatte barri jireenya ishee hammana ture
ዑቁ ኢተኀልዩ በልብክሙ ዘትብሉ	maal jennee falmanna jettanii yaadda'uu akka isin hin barbaachifne garaatti qabadhaa
ብነ ኀበ እግዚአብሔር አምላክነ	waaqayyo waaqa keenya keessa qabna
ወናሁ እብለክሙ ለኵልክሙ ትግሁ	kanan isiniin jedhus nama hundumaan nan jedha dammaqaa isaaniin jedhe
ወለኡባል ወለአቤሜሌክ ወለሴጌሆ	obaal abiimaa'el sheebaa
ውስተ በድው አኅድጎሙ ለሕዝብየ	saba koo gammoojjii gidduutti dhiisa
እስመ ይቤሉ ጋኔን ርኩስ አኀዞ	kanas namoonni innoo hafuura hamaa of keessaa qaba jedhanii waan turaniif dubbate
ወይቤሎሙ ገብረ አብርሃም አነ	yommus namichiani hojjetaa abrahaamii dha
ወሰሚዖሙ ሕዝብ አንከሩ ምህሮቶ	yommus namoonni kana dhaga'anis barsiisa isaatti in dinqifatan
ወብዙኃን እለ አምኑ ቦቱ በህየ	achittis namoonni baay'een yesusitti amanan
ንስቲት ኅብስት ተጸግበ ለርሑብ	buddeena xiqqootu beela'e ni quubsa
ወጸውዐ ሕፃነ ወአቀሞ ማእከሎሙ	yommus inni mucaa tokko gara isaatti waamee isaan gidduu dhaabachiisee
አውጽአ ሠርዌ እምውስተ ዓይንከ	mote ija kee keessaa baasi
ወበስመ ዚኣሁ አሕዛብ ይትአመኑ	sabni hundinuu maqaa isaa in abdatu isa jedhee dha
አንትን ውእቱ ቅዱሳት አርድእት	isin barattoota galata qabdan dha
አንቲ ዉእቱ ንጽሕት እምንጹሓን	qulqulloota hundumaa keessaa qulqulluun sidha
ፈኑ ጸጋ መንፈስ ቅዱስ ላዕሌነ	ayyaana hafuura qulqulluu nuuf ergi
ሰናይ እለተ ቅዳሜ ይኩን ለክሙ	dilbata gaarii isiniif haa ta'u
ኵሉ ተፈጥረ በፈቃደ እግዚብሔር	wanti hundinuu fedha waaqayyootiin uumame
ናሁ እሁብ አነ መንፈቀ ንዋይየ	ani qarshii koo walqixxummaa amma nan kenna
ወይብልዎ በሓ ንጉሦሙ ለአይሁድ	achumaanis attami ree yaa mootii yihudootaa jedhanii nagaa isa gaafachuutti ka'an
ወእምፍሬሆሙ እንከ ተአምርዎሙ	egaa ija hojii isaaniitiin isaan in beektu jedhe
ማዕዜ ዕለተ ቀደሰ እግዚአብሔር	waaqayyo yoom guyyaa sana kabaje
ወዳዕሙ ሰሎሞን ሐነጸ ሎቱ ቤተ	waaqayyoof mana kan ijaare garuu solomoon ture
ኦሆ ኢትበልዎ አንትሙ ለሰይጣን	seexanni tole hin jedhaa
ወአልቦ ዘየኃሥሦ ለእግዚአብሔር	namni tokko iyyuu hin hubatu namni tokko illees waaqayyoon hin barbaadu
እስፍንተ ሕፃናተ ቀተለ ሄሮድስ	heroodis ijoollee meeqa ajjeese
ወወፂኦሙ ነገሩ ለኵሉ በሓውርት	isaan garuu akkuma achii ba'aniin guutummaa biyya sanaatti waa'ee isaa odeessan
ንህብ ሰሎሞን ቀስመ ጽጌ ጥበብ	nehb salomon ababa aartii filate
ኰሎ ዘፈቀደ ገብረ እግዚአብሔር	waan waaqayyoon gammachiisu hojjete
ውእቶሙ እሙንቱ ሰብአ ኢትዮጵያ	isaan ummata itoophiyaati
ዘተወክፈ ኪያክሙ ተወክፈ ኪያየ	kan si fudhate na fudhate
ወሴሰዮሙ በገዳም አርብዓ ዓመተ	waggaa afurtamas lafa onaa keessatti obsee isaaniif danda'e
ሰባሕኩከ በቅድመ ሙሴ ወኤልያስ	eliyaasii fi musee duratti si mul'ise
እፎ አምስጥዎ ጻድቃን ለመጸብብ	akkamitti qajeelaan dhiphoo jalaa miliqe
ብክይዎ ወላህውዎ እለ ታፈቅርዎ	namoonni kan isaaf jaallattu boo'aa
ትማለም ፈነውክዎ አነ ለወልድየ	ilma koo kaleessa ergeen ture
ወኀደግዎ ኵሎሙ አርዳኢሁ ወጐዩ	bartoonni hundinuu immoo isa dhiisanii in baqatan
አንቲ ውእቱ ንጽሕት እምንጹሓን	nama qulqulluu caalaa kan qulqulluu ta'e ati
ሰለሞን ውእቱ ንጉሠ ኢየሩሳሌም	solomoon mootii yerusaalemti dha
ወለዘአብጽሓነ እስከ ዛቲ ሰዓት	hangaa yeroo kanaattinis kan nu gae
ወለዘተዓገሰ ለነ ኩሎ ኃጢኣተነ	cubbuu keenya hundummaas kan nuuf obse
ኢታምልክ አማልክተ ዘእንበሌየ	ana dura waaqa biraa hin qabaatin
ውእቶን እማንቱ ተላውያተ አላህ	isaan hordoftoota rabbiiti
እወ እትሜሀር ትምሀርተ ዘመናዌ	eeyyee barnoota ammayyaa nan baradha
ኦሆ በልዎ አንትሙ ለእግዚአብሔር	waaqayyoon tole jedhaa
ወለዘሠርዐ ለነ ሲሳየነ ወዐራዘነ	nyaatafi uffata keenya kan nuu qopheesse
አምኁ ጵልያጦን እኁየ በክርስቶስ	amphiliiyaaxos isa karaa gooftaa michuu koo ta'etti nagaa koo anaaf himaa
ኦ ወልድየ ይዕቀብከ እግዚአብሔር	ilma koo waaqayyo si haa eegu
ወመላእክት ያመጽኡ ወትረ ሲሳየኪ	ergamoonni si samiis yeroo hundumaa nyaata kee siifidu ture
በእንተ ትንሣኤሁ ለእግዚእኢየሱስ	iyyasuusdu'aa ka'uu isaa
በእንተ ተሳትፎ ሕማሙ ለክርስቶስ	kristosiif dhiphachuutti akka gammadan gorsuu isaa
ወኮነ ዐቢይ ፍሥሓ በይእቲ ሀገር	kanattis warri mandara sanaa guddaa in gammadan
ወከመዝ ቅስትየ ለእለ ይትዋቀሡኒ	warra ana irratti dubbataniif deebii waan ana irratti dubbataniifis falmata qaba
አንሰ ኢይፈቅድ ያድሉ ሊተ ሰብእ	ani nama biraa ulfina hin fudhadhu
ሲሳየነ ዘለለ ዕለትነ ሀበነ ዮም	soora har'aa bor nu barbaachisu har'a nuuf kenni
ኣመ ዳግም ምጽኣቱ ኢያስተኃፈረነ	dhufaatiisaa isa lammaffaattis akka nu hin qaanessineef
ወእመሰ ታፈቅሩኒ ዕቀቡ ትእዛዝየ	iyyasuusitti fufee isin yoo na jaallattan abboommota koo in eegdu
ዘንተ ነገርኩክሙ ከመ ኢትትዐቀፉ	ani kana hundumaa karaa irraa akka isin hin gufanneefan isinitti hime
ወቃለ እግዚአብሔር ዐብየ ወበዝኀ	dubbiin waaqayyoo garuu guddachaa bal'achaas in adeeme
ወበዊአክሙ ውስተ ቤት ተአምኅዎሙ	manichatti yeroo lixanis nagaa dhi'eessaa
ኣቡነ ዘበሰማያት ይትቀደስ ስምከ	yaa abbaa keenya samiirra kan jiraattu maqaan kee haa qulqullaau
ወይቤልዎ እፎ ተከሥታ አዕይንቲከ	namoonni immoo iji kee lachanuu attamitti siif banamani ree jedhanii isa gaafatan
ጉቡአ ወአቅረበነ ኀቤሁ ለስባሔሁ	dhaaba isatti walitti qabame nu godhee isa faarsuuf itti nu dhiheesse
ወይቤሎሙ አንትሙሰኬ መነ ትብሉኒ	iyyasuusimmoo isinoo eenyu anaan jettu jedhee isaan gaafate
ወጸሐፈ ሎቱ መጽሐፈ እንተ ትብል	ofii isaatii immoo caaffata kanatti fufee jiru caafe
ወተንሢኦ ነሥአ ዐራቶ ወሖረ ቤቶ	namichi yommus ka'ee mana isaatti gale
ወቀርበ በዓለ መጸለቶሙ ለአይሁድ	ayyaanni yihudootaa inni ayyaana gordommaa jedhamu tokko dhi'aatee ture
ወቀርበ በዓለ ፋሲካሆሙ ለአይሁድ	yeroo sana faasiikaan ayyaanni warra yihudootaa dhi'aatee ture
ወእሙንቱሰ ኢለበዉ ቃሎ ዘይቤሎሙ	isaan garuu maal jechuu isaa akka ture hin hubanne
በእንተ ማርያም መሐረነ ክርስቶስ	yaa kiristoos maariyaamiif dhiifama nuuf godhi
የሐዩ ለዝሉፉእስመ ኢይሬኢ ሙስና	kanaafis namni bara baraan nama jiraachisuu awwaalamuus isa oolchuu hin danda'u
ወዘርእየ ኪያየ ርእዮ ለዘፈነወኒ	namni ana argus isa ana erge sana arga
ወዐርጉ ሐዋርያት መልዕልተ ሐመር	ergamoota doonii irratti isaanis ni bahan
ኢይከውነከ ታውስብ ብእሲተ እኁከ	haadha manaa obboleessa keetii fuudhuu hin qabdu
አድኅን ርእሰከ ወረድ እመስቀልከ	mee of oolchi fannoo irraas gad bu'i jedhanii in arrabsu turan
ወይቤ ዘቦ ዕዝን ሰሚዐ ለይስማዕ	itti dabalees gurra ittiin dhaga'u kan qabu haa dhaggeeffatu jedhe
ወአርመሙ ወነሥኦ ወፈወሶ ወፈነዎ	isaan garuu calluma jedhan inni immoo namicha dhukkubsataa sana harkaan qabee fayyisee isa galches
ጣና ሀይቅ ውእቱ ቤተ ትምሀርትየ	haroon taanaa mana barumsaa kooti
መሐላሁ ዘመሐለ ለአብርሃም አቡነ	abbaa keenya abrahaamiif isa dhaabe nuuf kennuudhaaf kakuudhaan akka jabeesse
ወለኤዌዎን ወለፌርዜውን ወለሴዎን	hiiwon arqon siinon
ሐራዊ ኤልያስ ቀነተ ሰይፈ ጸሎተ	loltuun eliyaas seif kadhannaa hidhannoo
ጸልዩ በእንተ ሀገሪትነ ኢትዮጵያ	biyya keenya itoophiyaaf kadhadhaa
ወሀሎ አሐዱ ብእሲ ቅብው ቅድሜሁ	kunoo namni dhukkuba dhagna bobbokoksuun rakkatu tokko fuula isaa dura ture
ተዘከር ዕለተ ሰንበት አጽድቆታ	guyyaa sanbataa qulqullaa'uuf yaadi
ወወፂኦሙ ሰበኩ ከመ ኵሉ ይነስሑ	akkasitti warri kudha lamaan ba'anii namoonni yaada garaa isaanii akka geddaratan lallaban
ዘአስተዳለውከ ቅድመ ኵሉ ሕዝብከ	sabni hundinuu akka arguuf kan qopheessite
ወዘንተ ብሂሎ ሐይወ ለምጹ ሶቤሃ	achumaan namichi lamxii isaa irraa fayyee qullaa'e
አኮ ኃጥእ ጊዮርጊስ ዳዕሙ ጻድቅ	giyoorgis cubbamaa osoo hin taane qajeelaa dha
እምጊዜ ልደቱ እስከ ጊዜ ዕርገቱ	yeroo dhaloota isaa irraa kaasee hanga yeroo ol bauu isaatti
ወበሳኒታ ወፂኦ እምቢታንያ ርኅበ	borumtaas isaan bitaaniyaadhaa yommuu ba'an iyyasuusin beela'e
ድኅረ ነግሠ ዳዊት ነግሠ ሰሎሞን	daawit erga mooee booda solomoon mootii tae
ወይቤልዎ ኢየሱስ ናዝራዊ የኀልፍ	isaan immoo iyyasuusnama naazireet sanatu asiin darbaa jira jedhanii itti himan
ወሰፍሑ እደዊሆሙ ላዕሌሁ ወአኀዝዎ	jarri yommus hiixatanii yesusin qaban
ወአማልክተ ዘስብኮ ኢትግበር ለከ	fakkii waaqolii baqfame ofii keetiif hin hojjetin
በእንተ ሔዋን ተዐፅወ ኆኅተ ገነት	sababa hewaaniin karrawwan samii cufamanii turan
ወመሀሮሙ በሰንበት በአሐዱ ምኵራብ	iyyasuusguyyaa sanbataatti mana sagadaa tokkotti in barsiisa ture
ወእመሳኒታ ርእዮ ዮሐንስ ለኢየሱስ	guyyaa itti aanutti yohaannis yesusiin arge
ወወረደ ሙሴ ኀበ ሕዝብ ወይቤሎሙ	museen gara namootaatti gad bu'ee kana itti hime
ወሰሐቅዎ እስመ አእመሩ ከመ ሞተት	isaan hundumti isaanii garuu intalattiin akka duute beeku waan turaniif itti kolfan
ወይቤ አአምን እግዚኦ ወሰገደ ሎቱ	namichi deebisee nan amana gooftaa ko jedhee jilbeenfatee yesusiif sagade
ዘመረ ዳዊት መዝሙረ ነሢአ መሰንቆ	daawit fannoo fudhatee faarfannaa faarfate
ወለምንትኑ ለሊክሙ ኢትፈትሑ ጽድቀ	waan qajeelaan isa kam akka ta'e isinumti maaliif hin faraddani ree
ለይትመካሕ እኁነ ነዳይ በተልዕሎቱ	obboleessi hiyyummaan gad deebi'e waaqayyo duratti ol qabamuu isaatiin of haa jaju
ወገብኡ ኵሉ ለለአሐዱ ውስተ ቤቶሙ	kana booddee hundumti isaanii gara mana isaaniitti galan
አንትሙኬ ስምዑ ምሳሌሁ ለዘይዘርዕ	iyyasuusitti fufee egaa fakkeenyi namicha sanyii facaasuu maalitti akka hiikamu dhaggeeffadhaa
ወሐይወ ሴት ዓመተ ወወለዶ ለሄኖስ	sheet dhalatee waggaa enoshin in dhalche
ወአፍቅሩ ነግደ እንዘ ኢታስተዓፅቡ	wal simachuu keessatti namoonni guungummii malee keessummoota simachuu haa jaallatan
ዚአየ ውእቱ ገለአድ ወዚአየ ምናሴ	giil'aad kan koo minaasee immoo kan kooti
ቅድሜከ እግዚኦ ንሰግድ ወንሴብሐከ	gooftaa fuula kee duratti sagadna
እስመ ርእያ አዕይንትየ አድኅኖተከ	fayyisuu kee ija kootiin argeera
ወኀደጉ መሣግሪሆሙ ወተለውዎ ሶቤሃ	isaan achumaan kiyyoota isaanii achitti dhiisanii isa duukaa in bu'an
ወሰሚዖሙ አንከሩ ወኀደግዎ ወኀለፉ	yeroo kana dhaga'anitti dinqifatanii achumatti isa dhiisanii adeeman
አምላክ ዘለብሰ ሥጋ አድኃነ ዓለመ	waaqayyo foon uffatee biyya lafaa fayyise
ወይሬእዩ ገጾ ወስሙ ውስተ ፍጽሞሙ	isaan fuula isaa arguuf jiru maqaan isaas adda isaanii irratti argamuuf jira
ወድኅረ ኵሎሙ ሞተት ይእቲ ብእሲት	hunduma isaanii booddee immoo dubartittiin in duute
እግዝእትነ ማርያም ኣዕርጊ ጸሎትነ	yaa giiftii maariyaamii keenya kadhannaa keenya olnuuf baasi
በእንተ ሰማይ ሐዲስ ወምድር ሐዳስ	bantii waaqaa haaraa lafa haaraas arguu isaa
አንትሙሂ ፈጽሙ መስፈርተ አበዊክሙ	egaa isinis safara jal'ina abboota keessanii guuttadhaa
ወነበቦ እግዚአብሔር ለሙሴ ወይቤሎ	waaqayyo museedhaan akkana jedhee dubbate
ወኵሉ ዘከመ ተጸውዐ ከማሁ ለየሀሉ	namni adduma addaan waamicha waaqayyo itti isa waame keessatti haa hafu
እንስሳ እንተ ገዳም ይገብሩ በዓለ	bineensa bosonaa ayyaanicha ni kabaju
ተኖልወኒ በፍጽም ወዕቀበኒ በከዋለ	duraa fi booda na eegaa
ወድኅረ ኵሎሙ ሞተት ይእቲ ብእሲት	hundumaa booddee dubartittiin immoo duute
ከናፍር እለ ጻድቃን ይውሕዝ ሞገሰ	funyaan warra qajeelaa tola dhangalaasa
ወይቤ አብርሃም ኦሆ እምሕል አነ	abrahaamistole ani siif nan kakadha jedhe
ወሰቢሖሙ ወፅኡ ውስተ ደብረ ዘይት	faarfannaa galataa erga faarfatanii immoo gara gaara ejersaatti ol ba'an
ወቀርበ በዓለ መጸለት ዘስሙ ፋሲካ	ayyaanni maxinoo faasiikaa jedhamee inni waamamu dhi'aatee ture
ወዘኒ ዘእብለክሙ አኮ ዘእኤዝዘክሙ	kanas karaa isiniif banuufan jedhe malee isin abboomuuf miti
በሀ ኢትበልዎ አንትሙ ለዘኢየአምን	isin nama hin amanne nagaa hin jedhinaa
ብዕሴ ምንት ያስቆርር እግዚአብሔር	waaqayyo nama kamiyyuu ni jibba
ወካዕበ ከልሑ ኵሎሙ ወይቤሉ ስቅሎ	isaanis isa fannisi jedhanii iyyan
በሀ በልዎ አንትሙ ለቤተክርስትያን	isin waldaa kiristaana nagaa jetta
በይነ ዘተዋረደ አዳም ሞተ እግዚእ	addaam salphatee gooftaan ni du'e
ሐራሲ ጳውሎስ ይዘርእ ዘርአ ወንጌ	qotee bulaa phaawuloos zeera wangeelaa zeraa
አላ ዝ ውእቱ ዘይቤ ኢዩኤል ነቢይ	inni asitti ta'e kun garuu waan waaqayyo afaan raajicha yo'eliin dubbatee dha
በእንተ ተፈንዎተ በርናባስ ወሳውል	baarnaabaasii fi saa'ol fo'amanii ergamu
ናሁ ይትኀደግ ለክሙ ቤትክሙ በድወ	amma manni keessan onee in hafa
ነዳይ ሙሴ በልዐ ኅብስተ ሃይማኖተ	museen hiyyeessi buddeenaa fi amantii nyaate
ወእስከ አጽናፈዓለም በጽሐ ነቢቦሙ	wanta isaan dhuma addunyaa irra gahe
ገብር ጴጥሮስ ጾረ አርዑተ መስቀል	hojjetaan pheexiroos harqoota fannoo baattee deeme
ወአኀዝዎ ወቀሠፍዎ ወፈነውዎ ዕራቆ	isaan garuu hojjeticha qabanii reebanii harka isaa duwwaa isa gad dhiisan
ወእስብክ ዐመተ እግዚአብሔር ኅሪተ	waggaa ayyaana jaalala gooftaa labsuudhaaf na ergeera kan jedhu ture
ፈደይዎ አይሁድ ለእግዚእነ ህየንተ	yahuudonni gooftaan keenya waan gaarii hojjeteef badii badhaasan
ወኀሊፎሙ እምጲስድያ በጽሑ ጵንፍልያ	isaan ergasii kutaa biyya phisiidiyaa keessa darbanii kutaa biyya phamfiliyaa dhufan
እግዚኦ አምላኪየ እገኒ ለከ ለዓለም	yaa waaqayyo gooftaa ko ani bara baraan galata siif nan galcha
ወቅብአ ዘይትቀብኡ ወሞደዮ ለዕጣን	ixaanaaf zayita dibataaf zayita ixaana mi'aawaaf urgooftuu fi zayita fidaniiru
ወርእዮሙ ኮከበ ተፈሥሑ ዐቢየ ፍሥሓ	jarri urjicha yommuu argan gammachuu sonaan guddaa in gammadan
እስመ ዉእቱ እግዚእኪ ወሎቱ ትሰግዲ	inni gooftaa keedhaoo isaafis sagadi ni sagaddaafis
ወሖረ ኵሉ ሰብእ ይጸሐፍ በበ ሀገሩ	kanaaf namni hundinuu adduma addaan of caafsisuudhaaf gara mandara kutaa biyya itti dhalatee dhaqe
ወተመይጠ ከመ ይርአይ ዘገብረ ዘንተ	iyyasuusgaruu amma iyyuu nama isa tuqe arguudhaaf naannoo isaa ilaale
ያፈቅር ዳዊት ዘምሮ መሰንቆ መዝሙረ	daawit masinkoo irratti faarfachuu ni jaallata ture
ወኢያእመሩ ከመ በእንተ አብ ይቤሎሙ	isaan garuu waa'ee abbaa isaanitti dubbachuu isaa hin hubanne
ወአዘዞሙ ለሕዝብ ይርፍቁ ዲበ ምድር	yommus inni lafuma sana akka tattaa'aniif namoota abboome
በእንተ ኀጢአትሰ እስመ ኢአምኑ ብየ	isaan waan anatti hin amanneef cubbuu isaanii in argisiisa
ጊዜ ስድስቱ ስዓት ሰቀልዎ ለኢየሱስ	yesuus sa'aatii ja'aatti fannifame
ወነበቦ እግዚአብሔር ለሙሴ ወይቤሎ	waaqayyos museen innis akkana jedheen
ወከሠተ አፉሁ ወመሀሮሙ እንዘ ይብል	inni barsiisuma kanaan afaan isaa saaqqate
ወሠለስቱ ሰዓት ውእቱ ጊዜ ይሰቅልዎ	yeroon isa fannisanis bari'ee sa'aatii sadiitti ture
ወካልእ እምገጸ ዐረቢ እስራ ዐምዱ	godoo qulqullaa'aa isa lammaffaa gama kaabaatiin gabatee digdama
ዑቅ እንከ ብርሃንከ ጽልመተ ኢይኩን	kanaafis ifni si keessa jiru dukkana akka hin taaneef eeggadhu
ወግበሮ ቅብአ ቅዱሰ ጽዒጠ ዘጸዓጢ	zayitii dibataa qulqulluu akka mi'eessituu meeshaa baal'isuutiin tolchiti zayitii dibataa qulqulluu ta'a
ወነገሮሙ ኵሎ ወለአኮሙ ሀገረ ኢዮጴ	waan hundumaa isaanitti himee yopheetti isaan erge
ወኢተውላጠ ሤጠ ነፍሱዘጻመወ ለዓለም	gatiin furee lubbuu isaanii sonaan guddaa dha bara baraanis utuu hin baafamin in hafa
ወነበቦ እግዚአብሔር ለሙሴ ወይቤሎ	waaqayyo museetti dubbate
በጽሐ ዮሐንስ እንዘ ይሰብክ በገዳሞ	yohaannis mana amantii keessatti lallabaa ture
ወይቤሉ አይሁድ ርእዩ መጠነ ያፈቅሮ	yommus warri yihudootaa ilaa attam isa jaallate jedhan
ተመነየ ዳዊት ቀቲለ ምጻፍ ጐልያድሀ	daawit goliyaad qawweedhaan ajjeesuu hawwe
መኑ ውእቱ እግዚአ ከመ እእመን ቦቱ	gooftaan eenyutu amanuu qaba
እም ሔስ ለሰብእ ሶበ ይምሕር ነዳየ	namoonni hiyyeessa mararfachuun gaarii ture
ወኀሊፎሙ እምነ ሚስያ ወረዱ ጢሮአዳ	kanaaf kutaa biyya miisiyaas keessa darbanii xro'aasitti gad bu'an
ፈነወ ሄሮድስ ሐራሁ ይቅትሉ ህፃናተ	heroodis daa'imman akka ajjeesan loltoota erge
ወበጊዜሃ ኀደጉ መሣግሪሆሙ ወተለውዎ	achumaan isaan kiyyoota isaanii achitti dhiisanii isa duukaa bu'an
እስከ ማእዜኑ ትመይጥ ገጸከ እምኔየ	hamma yoomiitti fuula kee na duraa dhoksita
ቃልየ አፅምእ እግዚኦ ወለቡ ጽራኅየ	yaa waaqayyo gurra kee gara dubbii kootti qabi isa ani hasaasee sitti himadhus yaadatti anaaf fudhadhu
